BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME;TRADE_SESSION_DATE
SNDX;IMOEX;16.06.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2737,83;2758,97;2767,51;2731,24;48522580799;0;0;2;6,09E+12;RUB;2225231673;3;;16.06.2025
SNDX;IMOEX;17.06.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2788,94;2737,85;2791,03;2730,27;49557369072;0;0;2;6,21E+12;RUB;2225231673;3;;17.06.2025
SNDX;IMOEX;18.06.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2791,83;2799,02;2807,34;2779,68;46739818362;0;0;2;6,21E+12;RUB;2225231673;3;;18.06.2025
SNDX;IMOEX;19.06.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2783,81;2793,74;2800,14;2761,76;57804054062;0;0;2;6,19E+12;RUB;2225231673;3;;19.06.2025
SNDX;IMOEX;20.06.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2751,04;2776,11;2781,08;2748,57;51538481562;0;0;2;5,96E+12;RUB;2166121356;3;;20.06.2025
SNDX;IMOEX;23.06.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2759,67;2753,6;2768,93;2736,41;45783765846;0;0;2;5,98E+12;RUB;2166121356;3;;23.06.2025
SNDX;IMOEX;24.06.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2744,95;2726,43;2747,9;2715,79;47521354596;0;0;2;5,95E+12;RUB;2166121356;3;;24.06.2025
SNDX;IMOEX;25.06.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2790,78;2762,61;2790,78;2759,92;48303135160;0;0;2;6,05E+12;RUB;2166121356;3;;25.06.2025
SNDX;IMOEX;26.06.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2797,27;2794;2803,45;2780,49;38331797759;0;0;2;6,06E+12;RUB;2166121356;3;;26.06.2025
SNDX;IMOEX;27.06.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2806,11;2790,67;2814,29;2778,57;45799679869;0;0;2;6,08E+12;RUB;2166121356;3;;27.06.2025
SNDX;IMOEX;30.06.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2847,38;2818,98;2847,38;2806,49;66484573185;0;0;2;6,17E+12;RUB;2166121356;3;;30.06.2025
SNDX;IMOEX;01.07.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2848,44;2854,04;2858,55;2837,12;69425672393;0;0;2;6,17E+12;RUB;2166121356;3;;01.07.2025
SNDX;IMOEX;02.07.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2815,26;2838,45;2840,66;2810;63635726178;0;0;2;6,10E+12;RUB;2166121356;3;;02.07.2025
SNDX;IMOEX;03.07.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2823,34;2821,21;2840,13;2812,07;77723857741;0;0;2;6,12E+12;RUB;2166121356;3;;03.07.2025
SNDX;IMOEX;04.07.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2801,65;2808,3;2821,15;2788,9;45863630118;0;0;2;6,07E+12;RUB;2166121356;3;;04.07.2025
SNDX;IMOEX;07.07.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2756,14;2786,06;2788,67;2753,69;46525801143;0;0;2;5,97E+12;RUB;2166121356;3;;07.07.2025
SNDX;IMOEX;08.07.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2755,58;2748,19;2764,75;2738,75;50788012422;0;0;2;5,97E+12;RUB;2166121356;3;;08.07.2025
SNDX;IMOEX;09.07.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2696,45;2733,01;2735,07;2684,87;64573723902;0;0;2;5,84E+12;RUB;2166121356;3;;09.07.2025
SNDX;IMOEX;10.07.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2732,45;2724,64;2735,15;2705,98;53613145971;0;0;2;5,92E+12;RUB;2166121356;3;;10.07.2025
SNDX;IMOEX;11.07.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2642,02;2705,46;2707,82;2638,08;81023378446;0;0;2;5,72E+12;RUB;2166121356;3;;11.07.2025
SNDX;IMOEX;14.07.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2714,14;2616,31;2722,53;2616,03;81246713322;0;0;2;5,88E+12;RUB;2166121356;3;;14.07.2025
SNDX;IMOEX;15.07.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2756,95;2750,37;2761,82;2734,8;64553644858;0;0;2;5,97E+12;RUB;2166121356;3;;15.07.2025
SNDX;IMOEX;16.07.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2777,16;2758,65;2784,82;2747,82;62784837822;0;0;2;6,02E+12;RUB;2166121356;3;;16.07.2025
SNDX;IMOEX;17.07.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2761,48;2787,8;2788,3;2754,86;71686135901;0;0;2;5,98E+12;RUB;2166121356;3;;17.07.2025
SNDX;IMOEX;18.07.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2784,63;2758,28;2789,39;2715,11;1,00E+11;0;0;2;6,03E+12;RUB;2166121356;3;;18.07.2025
SNDX;IMOEX;21.07.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2821,78;2816,11;2827,94;2804,14;57107301321;0;0;2;6,11E+12;RUB;2166121356;3;;21.07.2025
SNDX;IMOEX;22.07.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2825,61;2811,64;2833,84;2801,11;49402127980;0;0;2;6,12E+12;RUB;2166121356;3;;22.07.2025
SNDX;IMOEX;23.07.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2841,16;2839,41;2849,8;2829,25;53230259497;0;0;2;6,15E+12;RUB;2166121356;3;;23.07.2025
SNDX;IMOEX;24.07.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2807,69;2837,72;2838,22;2806,64;41483352500;0;0;2;6,08E+12;RUB;2166121356;3;;24.07.2025
SNDX;IMOEX;25.07.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2772,39;2819,07;2827,03;2767,44;84093025461;0;0;2;6,01E+12;RUB;2166121356;3;;25.07.2025
SNDX;IMOEX;28.07.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2730,98;2760,9;2783,82;2726,61;85897967461;0;0;2;5,92E+12;RUB;2166121356;3;;28.07.2025
SNDX;IMOEX;29.07.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2758,28;2739,49;2764,03;2728,97;55423064774;0;0;2;5,97E+12;RUB;2166121356;3;;29.07.2025
SNDX;IMOEX;30.07.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2726,24;2751,92;2754,35;2718,65;38494074539;0;0;2;5,91E+12;RUB;2166121356;3;;30.07.2025
SNDX;IMOEX;31.07.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2732,12;2737,13;2741,14;2713,68;56396889696;0;0;2;5,92E+12;RUB;2166121356;3;;31.07.2025
SNDX;IMOEX;01.08.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2727,98;2749,41;2755,95;2724,54;35703010901;0;0;2;5,91E+12;RUB;2166121356;3;;01.08.2025
SNDX;IMOEX;04.08.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2773,85;2733,23;2776,99;2727,86;44018675049;0;0;2;6,01E+12;RUB;2166121356;3;;04.08.2025
SNDX;IMOEX;05.08.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2786,37;2784,71;2792,51;2764,77;47495676390;0;0;2;6,04E+12;RUB;2166121356;3;;05.08.2025
SNDX;IMOEX;06.08.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2764,62;2791,29;2798,21;2754,51;51260270133;0;0;2;5,99E+12;RUB;2166121356;3;;06.08.2025
SNDX;IMOEX;07.08.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2876,43;2836,05;2915,43;2824,78;1,41E+11;0;0;2;6,23E+12;RUB;2166121356;3;;07.08.2025
SNDX;IMOEX;08.08.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2924,63;2894,58;2926,98;2872,12;72584470577;0;0;2;6,34E+12;RUB;2166121356;3;;08.08.2025
SNDX;IMOEX;11.08.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2964,15;2991,68;2996,4;2956,94;83503648177;0;0;2;6,42E+12;RUB;2166121356;3;;11.08.2025
